Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Valor_anuncio_float,Valor_anuncio_milhoes,Preço por m²
,Jardim Luzitânia,São Paulo,460,3,4,3,R$ 5.500.000,5500000.0,5.5,11956.521739130434
Rua Primavera,Jardim Paulista,São Paulo,665,4,4,6,R$ 5.500.000,5500000.0,5.5,8270.676691729323
"Rua Paulo Rafael, 51 ",Vila Hebe,São Paulo,110,2,2,2,R$ 480.000,480000.0,0.48,4363.636363636364
Rua Wanderley,Perdizes,São Paulo,600,6,6,4,R$ 2.300.000,2300000.0,2.3,3833.3333333333335
Rua Wanderley,Perdizes,São Paulo,605,6,6,4,R$ 2.300.000,2300000.0,2.3,3801.6528925619837
"Rua Álvaro Rodrigues, 1008 ",Vila Cordeiro,São Paulo,300,3,2,3,R$ 1.276.600,1276600.0,1.2766,4255.333333333333
"Rua Doutor João Batista de Lacerda, 952 ",Quarta Parada,São Paulo,100,3,1,1,R$ 852.000,852000.0,0.852,8520.0
"Rua Jandiro Joaquim Pereira, 211 ",Morumbi,São Paulo,436,4,5,4,R$ 1.600.000,1600000.0,1.6,3669.7247706422017
,Jardim Guedala,São Paulo,650,4,7,5,R$ 4.500.000,4500000.0,4.5,6923.076923076923
"Rua Morais de Barros, 367 ",Campo Belo,São Paulo,140,4,2,8,R$ 2.020.000,2020000.0,2.02,14428.57142857143
"Rua Antônio Pereira Mendes, 98 ",Jardim Prudência,São Paulo,251,3,5,5,R$ 1.450.000,1450000.0,1.45,5776.892430278885
"Avenida Ceci, 679 ",Planalto Paulista,São Paulo,520,3,1,3,R$ 2.226.000,2226000.0,2.226,4280.7692307692305
"Rua Turiassu, 189 ",Perdizes,São Paulo,300,8,4,1,R$ 2.000.000,2000000.0,2.0,6666.666666666667
Rua Itaperuna,Pacaembu,São Paulo,780,4,8,4,R$ 11.990.000,11990000.0,11.99,15371.794871794871
"Rua Boquim, 42 ",Vila Ida,São Paulo,235,3,4,6,R$ 2.240.000,2240000.0,2.24,9531.91489361702
Rua Barão de Loreto,Vila São José (Ipiranga),São Paulo,180,3,4,2,R$ 2.000.000,2000000.0,2.0,11111.111111111111
,Vila Albertina,São Paulo,323,3,5,6,R$ 1.270.000,1270000.0,1.27,3931.888544891641
"Rua Barão de São Gabriel, 87 ",Bela Aliança,São Paulo,361,4,4,4,R$ 2.500.000,2500000.0,2.5,6925.207756232687
"Alameda Álvaro de Morais, 83 ",Planalto Paulista,São Paulo,208,3,1,5,R$ 1.400.000,1400000.0,1.4,6730.7692307692305
