Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Valor_anuncio_float,Valor_anuncio_milhoes,Preço por m²
Rua Manguatá,Cidade Monções,São Paulo,196,4,5,4,R$ 2.000.000,2000000.0,2.0,10204.081632653062
Rua Pacobá,Jardim Panorama,São Paulo,639,4,2,4,R$ 4.000.000,4000000.0,4.0,6259.7809076682315
Rua Manduri,Jardim Paulistano,São Paulo,383,4,6,4,R$ 3.650.000,3650000.0,3.65,9530.026109660574
,Jardim Guedala,São Paulo,858,4,6,8,R$ 6.000.000,6000000.0,6.0,6993.006993006993
Rua Marcelina,Vila Romana,São Paulo,120,2,4,1,R$ 800.000,800000.0,0.8,6666.666666666667
,Boaçava,São Paulo,356,4,6,4,R$ 2.900.000,2900000.0,2.9,8146.067415730337
"Rua Joaquim José do Amaral, 178 ",Jardim Alvorada (Zona Oeste),São Paulo,240,3,4,3,R$ 560.000,560000.0,0.56,2333.3333333333335
,Paineiras do Morumbi,São Paulo,564,4,4,6,R$ 5.100.000,5100000.0,5.1,9042.553191489362
Rua General Góis Monteiro,Vila Anglo Brasileira,São Paulo,200,3,6,3,R$ 1.250.000,1250000.0,1.25,6250.0
Rua Ministro José G. R. Alckmin,Santo Amaro,São Paulo,139,2,3,4,R$ 1.000.000,1000000.0,1.0,7194.244604316546
Rua Cayowaá,Perdizes,São Paulo,230,3,2,2,R$ 1.200.000,1200000.0,1.2,5217.391304347826
,Vila Leopoldina,São Paulo,550,3,2,6,R$ 3.035.000,3035000.0,3.035,5518.181818181818
Rua Pedro Campana,Jardim Vila Mariana,São Paulo,270,3,5,4,R$ 1.910.000,1910000.0,1.91,7074.074074074074
Rua Artur Dias,Bosque da Saúde,São Paulo,126,3,5,3,R$ 1.000.000,1000000.0,1.0,7936.507936507936
Rua Capitão Caetano João Batista,Saúde,São Paulo,400,5,4,2,R$ 2.200.000,2200000.0,2.2,5500.0
,Jardim América,São Paulo,700,6,7,10,R$ 23.000.000,23000000.0,23.0,32857.142857142855
Rua Olegário Mariano,Jardim Guedala,São Paulo,900,7,2,12,R$ 15.000.000,15000000.0,15.0,16666.666666666668
,Jardim Novo Mundo,São Paulo,482,4,6,4,R$ 4.500.000,4500000.0,4.5,9336.09958506224
,Santo Amaro,São Paulo,206,3,5,4,R$ 1.498.000,1498000.0,1.498,7271.844660194175
Avenida Santo Albano,Vila Vera,São Paulo,295,3,4,4,R$ 640.000,640000.0,0.64,2169.491525423729
,Morumbi,São Paulo,512,3,4,8,R$ 4.300.000,4300000.0,4.3,8398.4375
Rua Emboabas,Brooklin Paulista,São Paulo,500,4,6,5,R$ 3.000.000,3000000.0,3.0,6000.0
Rua Major Natanael,Pacaembu,São Paulo,380,3,3,6,R$ 2.000.000,2000000.0,2.0,5263.1578947368425
Rua Pedro,Vila Albertina,São Paulo,670,4,6,6,R$ 3.000.000,3000000.0,3.0,4477.611940298508
,Pacaembu,São Paulo,400,4,2,2,R$ 3.650.000,3650000.0,3.65,9125.0
,Jardim Paulistano,São Paulo,650,3,6,10,R$ 10.000.000,10000000.0,10.0,15384.615384615385
Rua Dom Lúcio de Sousa,Vila Gumercindo,São Paulo,567,3,2,5,R$ 2.500.000,2500000.0,2.5,4409.171075837742
Rua Bento Vieira,Ipiranga,São Paulo,151,3,2,3,R$ 880.000,880000.0,0.88,5827.814569536424
,Pacaembu,São Paulo,300,3,4,4,R$ 2.800.000,2800000.0,2.8,9333.333333333334
,Boaçava,São Paulo,400,3,5,6,R$ 3.400.000,3400000.0,3.4,8500.0
,Pinheiros,São Paulo,418,5,3,6,R$ 4.050.000,4050000.0,4.05,9688.995215311004
Viela Um,Jardim Peri,São Paulo,266,4,5,5,R$ 2.500.000,2500000.0,2.5,9398.496240601504
Rua João Lourenço,Vila Nova Conceição,São Paulo,1000,1,3,10,R$ 15.000.000,15000000.0,15.0,15000.0
Rua Antônio Salema,Vila Morse,São Paulo,180,4,6,4,R$ 850.000,850000.0,0.85,4722.222222222223
,Vila Tramontano,São Paulo,270,4,5,3,R$ 1.975.000,1975000.0,1.975,7314.814814814815
Rua Maranduba,Aclimação,São Paulo,160,3,3,1,R$ 1.400.000,1400000.0,1.4,8750.0
,Jardim Paulista,São Paulo,400,3,3,9,R$ 6.000.000,6000000.0,6.0,15000.0
,Jardim Guedala,São Paulo,742,5,7,6,R$ 3.400.000,3400000.0,3.4,4582.210242587601
Rua Brigadeiro Armando Trompowsky,Jardim Morumbi,São Paulo,1700,7,7,6,R$ 12.000.000,12000000.0,12.0,7058.823529411765
,Jardim Paulista,São Paulo,390,5,6,6,R$ 5.500.000,5500000.0,5.5,14102.564102564103
,Jardim das Bandeiras,São Paulo,390,4,4,4,R$ 3.000.000,3000000.0,3.0,7692.307692307692
Viela Um,Jardim Peri,São Paulo,267,3,5,4,R$ 1.910.000,1910000.0,1.91,7153.558052434457
,Jardim Guedala,São Paulo,289,4,6,4,R$ 6.900.000,6900000.0,6.9,23875.432525951557
"Rua Paraupava, 176 ",Belenzinho,São Paulo,135,3,3,2,R$ 670.000,670000.0,0.67,4962.962962962963
Rua Bela Vista,Santo Amaro,São Paulo,37,5,5,2,R$ 690.000,690000.0,0.69,18648.64864864865
Rua Sanharó,Jardim Guedala,São Paulo,905,5,8,10,R$ 5.800.000,5800000.0,5.8,6408.839779005525
Rua Francisco Bellazzi,Jardim Jaraguá,São Paulo,70,2,1,1,R$ 255.000,255000.0,0.255,3642.8571428571427
,Vila Madalena,São Paulo,145,3,2,2,R$ 2.150.000,2150000.0,2.15,14827.586206896553
,Morumbi,São Paulo,396,4,4,11,R$ 2.000.000,2000000.0,2.0,5050.50505050505
,Vila Madalena,São Paulo,392,4,5,2,R$ 3.200.000,3200000.0,3.2,8163.265306122449
,Vila Cordeiro,São Paulo,140,2,1,10,R$ 2.100.000,2100000.0,2.1,15000.0
,Boaçava,São Paulo,600,4,5,3,R$ 4.500.000,4500000.0,4.5,7500.0
,Jardim Guedala,São Paulo,488,4,40,4,R$ 2.600.000,2600000.0,2.6,5327.868852459016
Rua Salvador Longo,Itaim Bibi,São Paulo,119,2,1,2,R$ 1.100.000,1100000.0,1.1,9243.697478991597
,Jardim Paulista,São Paulo,550,4,5,4,R$ 12.000.000,12000000.0,12.0,21818.18181818182
Rua Doutor Roberto Mercatelli,Barra Funda,São Paulo,87,3,2,1,R$ 639.000,639000.0,0.639,7344.827586206897
,Butantã,São Paulo,600,4,4,4,R$ 3.500.000,3500000.0,3.5,5833.333333333333
Rua José de Freitas Guimarães,Pacaembu,São Paulo,419,4,2,6,R$ 2.700.000,2700000.0,2.7,6443.9140811455845
"Rua Croata, , 910 ",Vila Ipojuca,São Paulo,200,2,3,2,R$ 1.570.000,1570000.0,1.57,7850.0
,Jardim Europa,São Paulo,250,4,5,2,R$ 5.350.000,5350000.0,5.35,21400.0
Rua Dom Duarte Leopoldo,Cambuci,São Paulo,88,2,2,1,R$ 595.000,595000.0,0.595,6761.363636363636
,Jardim Petrópolis,São Paulo,429,4,7,3,R$ 8.000.000,8000000.0,8.0,18648.01864801865
,Jardim Europa,São Paulo,650,5,6,6,R$ 13.500.000,13500000.0,13.5,20769.23076923077
,Vila Tramontano,São Paulo,256,4,2,5,R$ 1.800.000,1800000.0,1.8,7031.25
Praça Louveira,Tatuapé,São Paulo,250,4,2,3,R$ 1.350.000,1350000.0,1.35,5400.0
,Jardim Marajoara,São Paulo,400,4,3,4,R$ 2.950.000,2950000.0,2.95,7375.0
,Cidade Patriarca,São Paulo,360,5,3,4,R$ 990.000,990000.0,0.99,2750.0
Rua Feliciano Maia,Jardim Paulista,São Paulo,300,3,2,3,R$ 3.950.000,3950000.0,3.95,13166.666666666666
,Santo Amaro,São Paulo,200,3,5,3,R$ 1.790.000,1790000.0,1.79,8950.0
,Morumbi,São Paulo,480,4,5,3,R$ 3.200.000,3200000.0,3.2,6666.666666666667
Rua Estela,Vila Mariana,São Paulo,89,3,2,2,R$ 860.000,860000.0,0.86,9662.921348314607
Avenida Tomás de Sousa,Jardim Monte Azul,São Paulo,320,4,5,7,R$ 1.000.000,1000000.0,1.0,3125.0
,Jardim América,São Paulo,675,4,6,9,R$ 25.000.000,25000000.0,25.0,37037.03703703704
,Jardim Paulista,São Paulo,450,3,4,7,R$ 3.800.000,3800000.0,3.8,8444.444444444445
,Jardim Leonor,São Paulo,900,5,5,3,R$ 6.500.000,6500000.0,6.5,7222.222222222223
,Alto de Pinheiros,São Paulo,466,4,6,5,R$ 7.250.000,7250000.0,7.25,15557.93991416309
,Chácara Santo Antônio (Zona Sul),São Paulo,350,4,4,3,R$ 3.800.000,3800000.0,3.8,10857.142857142857
Rua Sebastião Caleiro,Vila Madalena,São Paulo,330,4,3,4,R$ 1.850.000,1850000.0,1.85,5606.060606060606
,Jardim América,São Paulo,480,4,5,4,R$ 19.000.000,19000000.0,19.0,39583.333333333336
,Jardim Paulista,São Paulo,260,4,4,7,R$ 4.500.000,4500000.0,4.5,17307.69230769231
,Jardim Paulista,São Paulo,470,4,8,6,R$ 18.000.000,18000000.0,18.0,38297.87234042553
,Lapa,São Paulo,363,3,3,3,R$ 1.650.000,1650000.0,1.65,4545.454545454545
Rua Petrópolis,Sumaré,São Paulo,400,4,6,4,R$ 3.000.000,3000000.0,3.0,7500.0
,Jardim Luzitânia,São Paulo,600,3,6,5,R$ 12.000.000,12000000.0,12.0,20000.0
,Jardim Europa,São Paulo,643,4,4,7,R$ 18.000.000,18000000.0,18.0,27993.779160186627
,Vila Guarani (Z Sul),São Paulo,180,5,3,2,R$ 600.000,600000.0,0.6,3333.3333333333335
,Sumaré,São Paulo,330,3,6,3,R$ 3.200.000,3200000.0,3.2,9696.969696969696
,Vila Guarani (Z Sul),São Paulo,185,5,3,2,R$ 600.000,600000.0,0.6,3243.2432432432433
,Sumaré,São Paulo,335,3,6,3,R$ 3.200.000,3200000.0,3.2,9552.23880597015
Largo Mestre de Aviz,Jardim Luzitânia,São Paulo,454,4,6,4,R$ 3.850.000,3850000.0,3.85,8480.176211453745
,Boaçava,São Paulo,312,3,4,5,R$ 3.150.000,3150000.0,3.15,10096.153846153846
,Cidade Jardim,São Paulo,503,4,5,4,R$ 3.600.000,3600000.0,3.6,7157.057654075546
"Rua Constantino Fraga, , 26 ",Vila Hamburguesa,São Paulo,140,2,2,3,R$ 980.000,980000.0,0.98,7000.0
,Granja Julieta,São Paulo,550,4,6,6,R$ 4.950.000,4950000.0,4.95,9000.0
,Alto de Pinheiros,São Paulo,670,4,5,6,R$ 5.000.000,5000000.0,5.0,7462.686567164179
"Avenida Armando Ferrentini, 137 ",Paraíso,São Paulo,247,3,5,2,R$ 1.590.000,1590000.0,1.59,6437.246963562753
,Jardim América,São Paulo,301,4,3,4,R$ 4.200.000,4200000.0,4.2,13953.488372093023
Rua Vicente Leporace,Campo Belo,São Paulo,480,7,8,4,R$ 2.750.000,2750000.0,2.75,5729.166666666667
,Vila Tramontano,São Paulo,394,4,4,3,R$ 2.500.000,2500000.0,2.5,6345.177664974619
Praça Conde de Barcelos,Alto de Pinheiros,São Paulo,279,5,5,4,R$ 4.300.000,4300000.0,4.3,15412.186379928315
Rua Doutor Aldo de Assis Dias,Vila Isa,São Paulo,125,3,2,2,R$ 730.000,730000.0,0.73,5840.0
,Vila Cruzeiro,São Paulo,155,3,4,2,R$ 1.600.000,1600000.0,1.6,10322.58064516129
,Sumarezinho,São Paulo,240,4,5,2,R$ 2.990.000,2990000.0,2.99,12458.333333333334
,Santo Amaro,São Paulo,373,3,2,4,R$ 3.500.000,3500000.0,3.5,9383.378016085791
Rua Conde de Ipanema,Parque Colonial,São Paulo,500,3,5,5,R$ 1.450.000,1450000.0,1.45,2900.0
,Jardim Leonor,São Paulo,614,5,6,8,R$ 9.000.000,9000000.0,9.0,14657.980456026058
Rua Camacam,Vila Anastácio,São Paulo,138,2,2,3,R$ 699.000,699000.0,0.699,5065.217391304348
,Alto da Lapa,São Paulo,430,5,7,12,R$ 2.000.000,2000000.0,2.0,4651.162790697675
Rua Bennet,Alto de Pinheiros,São Paulo,531,4,3,6,R$ 3.500.000,3500000.0,3.5,6591.337099811676
Rua Alberto Hodge,Santo Amaro,São Paulo,271,6,6,2,R$ 1.650.000,1650000.0,1.65,6088.560885608856
,Jardim Europa,São Paulo,501,4,5,14,R$ 12.000.000,12000000.0,12.0,23952.095808383234
,Jardim Paulista,São Paulo,1060,5,6,4,R$ 30.000.000,30000000.0,30.0,28301.88679245283
,Jardim das Bandeiras,São Paulo,420,4,4,6,R$ 3.800.000,3800000.0,3.8,9047.619047619048
"Rua Mauricina, , 191 ",Vila Romana,São Paulo,170,2,2,4,R$ 1.250.000,1250000.0,1.25,7352.941176470588
Rua Nova York,Brooklin Paulista,São Paulo,380,5,3,6,R$ 2.500.000,2500000.0,2.5,6578.9473684210525
Rua José Aldo Piassi,São Miguel Paulista,São Paulo,200,3,1,5,R$ 650.000,650000.0,0.65,3250.0
,Alto de Pinheiros,São Paulo,520,3,8,10,R$ 3.723.000,3723000.0,3.723,7159.615384615385
,Vila Madalena,São Paulo,600,4,6,6,R$ 7.000.000,7000000.0,7.0,11666.666666666666
Rua Antônio Salema,Vila Morse,São Paulo,185,4,6,4,R$ 850.000,850000.0,0.85,4594.594594594595
,Vila Tramontano,São Paulo,275,4,5,3,R$ 1.975.000,1975000.0,1.975,7181.818181818182
Rua Maranduba,Aclimação,São Paulo,165,3,3,1,R$ 1.400.000,1400000.0,1.4,8484.848484848484
,Jardim Paulista,São Paulo,405,3,3,9,R$ 6.000.000,6000000.0,6.0,14814.814814814816
,Jardim Guedala,São Paulo,747,5,7,6,R$ 3.400.000,3400000.0,3.4,4551.5394912985275
Rua Brigadeiro Armando Trompowsky,Jardim Morumbi,São Paulo,1705,7,7,6,R$ 12.000.000,12000000.0,12.0,7038.123167155425
,Jardim Paulista,São Paulo,395,5,6,6,R$ 5.500.000,5500000.0,5.5,13924.050632911392
,Jardim das Bandeiras,São Paulo,395,4,4,4,R$ 3.000.000,3000000.0,3.0,7594.93670886076
Viela Um,Jardim Peri,São Paulo,272,3,5,4,R$ 1.910.000,1910000.0,1.91,7022.058823529412
,Jardim Guedala,São Paulo,294,4,6,4,R$ 6.900.000,6900000.0,6.9,23469.38775510204
"Rua Paraupava, 176 ",Belenzinho,São Paulo,140,3,3,2,R$ 670.000,670000.0,0.67,4785.714285714285
Rua Bela Vista,Santo Amaro,São Paulo,42,5,5,2,R$ 690.000,690000.0,0.69,16428.571428571428
Rua Sanharó,Jardim Guedala,São Paulo,905,5,8,10,R$ 5.800.000,5800000.0,5.8,6408.839779005525
Rua Francisco Bellazzi,Jardim Jaraguá,São Paulo,75,2,1,1,R$ 255.000,255000.0,0.255,3400.0
,Vila Madalena,São Paulo,150,3,2,2,R$ 2.150.000,2150000.0,2.15,14333.333333333334
,Morumbi,São Paulo,401,4,4,11,R$ 2.000.000,2000000.0,2.0,4987.5311720698255
,Vila Madalena,São Paulo,397,4,5,2,R$ 3.200.000,3200000.0,3.2,8060.4534005037785
,Vila Cordeiro,São Paulo,145,2,1,10,R$ 2.100.000,2100000.0,2.1,14482.758620689656
,Boaçava,São Paulo,605,4,5,3,R$ 4.500.000,4500000.0,4.5,7438.01652892562
,Jardim Guedala,São Paulo,493,4,40,4,R$ 2.600.000,2600000.0,2.6,5273.833671399594
,Butantã,São Paulo,342,4,7,8,R$ 2.350.000,2350000.0,2.35,6871.3450292397665
Rua Salvador Longo,Itaim Bibi,São Paulo,124,2,1,2,R$ 1.100.000,1100000.0,1.1,8870.967741935483
,Vila Progredior,São Paulo,600,4,7,8,R$ 1.800.000,1800000.0,1.8,3000.0
,Jardim Paulista,São Paulo,555,4,5,4,R$ 12.000.000,12000000.0,12.0,21621.62162162162
Rua Doutor Roberto Mercatelli,Barra Funda,São Paulo,92,3,2,1,R$ 639.000,639000.0,0.639,6945.652173913043
,Santo Amaro,São Paulo,730,7,7,6,R$ 2.700.000,2700000.0,2.7,3698.6301369863013
,Alto da Lapa,São Paulo,278,4,2,6,R$ 1.720.000,1720000.0,1.72,6187.050359712231
,Jardim Morumbi,São Paulo,620,4,4,10,R$ 4.900.000,4900000.0,4.9,7903.225806451613
Rua Barão do Rio Pardo,Jardim Morumbi,São Paulo,296,4,3,4,R$ 1.500.000,1500000.0,1.5,5067.5675675675675
,Butantã,São Paulo,605,4,4,4,R$ 3.500.000,3500000.0,3.5,5785.123966942148
Rua José de Freitas Guimarães,Pacaembu,São Paulo,424,4,2,6,R$ 2.700.000,2700000.0,2.7,6367.924528301887
"Rua Croata, , 910 ",Vila Ipojuca,São Paulo,205,2,3,2,R$ 1.570.000,1570000.0,1.57,7658.536585365854
,Jardim Europa,São Paulo,255,4,5,2,R$ 5.350.000,5350000.0,5.35,20980.392156862745
Rua Dom Duarte Leopoldo,Cambuci,São Paulo,93,2,2,1,R$ 595.000,595000.0,0.595,6397.8494623655915
,Jardim Petrópolis,São Paulo,434,4,7,3,R$ 8.000.000,8000000.0,8.0,18433.179723502304
,Jardim Europa,São Paulo,655,5,6,6,R$ 13.500.000,13500000.0,13.5,20610.68702290076
,Vila Tramontano,São Paulo,261,4,2,5,R$ 1.800.000,1800000.0,1.8,6896.551724137931
Praça Louveira,Tatuapé,São Paulo,255,4,2,3,R$ 1.350.000,1350000.0,1.35,5294.117647058823
,Jardim Marajoara,São Paulo,405,4,3,4,R$ 2.950.000,2950000.0,2.95,7283.950617283951
,Cidade Patriarca,São Paulo,365,5,3,4,R$ 990.000,990000.0,0.99,2712.328767123288
Rua Feliciano Maia,Jardim Paulista,São Paulo,305,3,2,3,R$ 3.950.000,3950000.0,3.95,12950.819672131147
,Santo Amaro,São Paulo,205,3,5,3,R$ 1.790.000,1790000.0,1.79,8731.707317073171
,Morumbi,São Paulo,485,4,5,3,R$ 3.200.000,3200000.0,3.2,6597.938144329897
Rua Estela,Vila Mariana,São Paulo,94,3,2,2,R$ 860.000,860000.0,0.86,9148.936170212766
Avenida Tomás de Sousa,Jardim Monte Azul,São Paulo,325,4,5,7,R$ 1.000.000,1000000.0,1.0,3076.923076923077
,Jardim América,São Paulo,680,4,6,9,R$ 25.000.000,25000000.0,25.0,36764.705882352944
,Jardim Paulista,São Paulo,455,3,4,7,R$ 3.800.000,3800000.0,3.8,8351.648351648351
,Jardim Leonor,São Paulo,905,5,5,3,R$ 6.500.000,6500000.0,6.5,7182.32044198895
,Alto de Pinheiros,São Paulo,471,4,6,5,R$ 7.250.000,7250000.0,7.25,15392.781316348195
,Chácara Santo Antônio (Zona Sul),São Paulo,355,4,4,3,R$ 3.800.000,3800000.0,3.8,10704.225352112677
,Cidade São Mateus,São Paulo,61,1,1,1,R$ 147.288,147288.0,0.147288,2414.55737704918
Rua Sebastião Caleiro,Vila Madalena,São Paulo,335,4,3,4,R$ 1.850.000,1850000.0,1.85,5522.388059701492
,Jardim América,São Paulo,485,4,5,4,R$ 19.000.000,19000000.0,19.0,39175.257731958765
,Jardim Paulista,São Paulo,265,4,4,7,R$ 4.500.000,4500000.0,4.5,16981.132075471698
,Jardim Paulista,São Paulo,475,4,8,6,R$ 18.000.000,18000000.0,18.0,37894.73684210526
,Lapa,São Paulo,368,3,3,3,R$ 1.650.000,1650000.0,1.65,4483.695652173913
Rua Petrópolis,Sumaré,São Paulo,405,4,6,4,R$ 3.000.000,3000000.0,3.0,7407.407407407408
,Jardim Luzitânia,São Paulo,605,3,6,5,R$ 12.000.000,12000000.0,12.0,19834.710743801654
,Jardim Europa,São Paulo,648,4,4,7,R$ 18.000.000,18000000.0,18.0,27777.777777777777
,Vila Guarani (Z Sul),São Paulo,185,5,3,2,R$ 600.000,600000.0,0.6,3243.2432432432433
Rua Maria Clara Martins da Silveira,Jurubatuba,São Paulo,161,2,4,3,R$ 640.000,640000.0,0.64,3975.1552795031057
,Sumaré,São Paulo,335,3,6,3,R$ 3.200.000,3200000.0,3.2,9552.23880597015
Largo Mestre de Aviz,Jardim Luzitânia,São Paulo,459,4,6,4,R$ 3.850.000,3850000.0,3.85,8387.799564270152
,Boaçava,São Paulo,317,3,4,5,R$ 3.150.000,3150000.0,3.15,9936.908517350157
Rua Maestro Elias Lobo,Jardim Paulista,São Paulo,300,3,6,3,R$ 4.900.000,4900000.0,4.9,16333.333333333334
,Cidade Jardim,São Paulo,508,4,5,4,R$ 3.600.000,3600000.0,3.6,7086.614173228347
"Rua Constantino Fraga, , 26 ",Vila Hamburguesa,São Paulo,145,2,2,3,R$ 980.000,980000.0,0.98,6758.620689655172
Avenida Ireré,Planalto Paulista,São Paulo,430,4,5,3,R$ 2.780.000,2780000.0,2.78,6465.116279069767
,Granja Julieta,São Paulo,555,4,6,6,R$ 4.950.000,4950000.0,4.95,8918.918918918918
,Alto de Pinheiros,São Paulo,675,4,5,6,R$ 5.000.000,5000000.0,5.0,7407.407407407408
"Avenida Armando Ferrentini, 137 ",Paraíso,São Paulo,252,3,5,2,R$ 1.590.000,1590000.0,1.59,6309.523809523809
,Jardim América,São Paulo,306,4,3,4,R$ 4.200.000,4200000.0,4.2,13725.490196078432
Rua Vicente Leporace,Campo Belo,São Paulo,485,7,8,4,R$ 2.750.000,2750000.0,2.75,5670.103092783505
,Vila Tramontano,São Paulo,399,4,4,3,R$ 2.500.000,2500000.0,2.5,6265.664160401003
Praça Conde de Barcelos,Alto de Pinheiros,São Paulo,284,5,5,4,R$ 4.300.000,4300000.0,4.3,15140.845070422536
Rua Doutor Aldo de Assis Dias,Vila Isa,São Paulo,130,3,2,2,R$ 730.000,730000.0,0.73,5615.384615384615
Rua Bartira,Perdizes,São Paulo,200,2,2,1,R$ 1.400.000,1400000.0,1.4,7000.0
,Vila Cruzeiro,São Paulo,160,3,4,2,R$ 1.600.000,1600000.0,1.6,10000.0
Rua Quirino Pucca,Vila Romana,São Paulo,80,1,1,2,R$ 480.000,480000.0,0.48,6000.0
,Sumarezinho,São Paulo,245,4,5,2,R$ 2.990.000,2990000.0,2.99,12204.081632653062
,Santo Amaro,São Paulo,378,3,2,4,R$ 3.500.000,3500000.0,3.5,9259.25925925926
Rua Conde de Ipanema,Parque Colonial,São Paulo,505,3,5,5,R$ 1.450.000,1450000.0,1.45,2871.2871287128714
,Jardim Leonor,São Paulo,619,5,6,8,R$ 9.000.000,9000000.0,9.0,14539.579967689822
Rua Camacam,Vila Anastácio,São Paulo,143,2,2,3,R$ 699.000,699000.0,0.699,4888.111888111888
,Alto da Lapa,São Paulo,435,5,7,12,R$ 2.000.000,2000000.0,2.0,4597.701149425287
Rua Bennet,Alto de Pinheiros,São Paulo,536,4,3,6,R$ 3.500.000,3500000.0,3.5,6529.850746268657
Rua Alberto Hodge,Santo Amaro,São Paulo,276,6,6,2,R$ 1.650.000,1650000.0,1.65,5978.260869565217
,Jardim Europa,São Paulo,506,4,5,14,R$ 12.000.000,12000000.0,12.0,23715.415019762844
,Jardim Paulista,São Paulo,1065,5,6,4,R$ 30.000.000,30000000.0,30.0,28169.014084507042
,Jardim das Bandeiras,São Paulo,425,4,4,6,R$ 3.800.000,3800000.0,3.8,8941.176470588236
"Rua Mauricina, , 191 ",Vila Romana,São Paulo,175,2,2,4,R$ 1.250.000,1250000.0,1.25,7142.857142857143
Rua Nova York,Brooklin Paulista,São Paulo,385,5,3,6,R$ 2.500.000,2500000.0,2.5,6493.506493506494
Rua José Aldo Piassi,São Miguel Paulista,São Paulo,205,3,1,5,R$ 650.000,650000.0,0.65,3170.731707317073
,Alto de Pinheiros,São Paulo,525,3,8,10,R$ 3.723.000,3723000.0,3.723,7091.428571428572
,Vila Madalena,São Paulo,605,4,6,6,R$ 7.000.000,7000000.0,7.0,11570.247933884297
,Pacaembu,São Paulo,388,4,4,3,R$ 8.000.000,8000000.0,8.0,20618.556701030928
,Pacaembu,São Paulo,450,4,5,3,R$ 4.300.000,4300000.0,4.3,9555.555555555555
Rua Nova York,Brooklin Paulista,São Paulo,385,5,3,6,R$ 2.500.000,2500000.0,2.5,6493.506493506494
Rua José Aldo Piassi,São Miguel Paulista,São Paulo,205,3,1,5,R$ 650.000,650000.0,0.65,3170.731707317073
,Alto de Pinheiros,São Paulo,525,3,8,10,R$ 3.723.000,3723000.0,3.723,7091.428571428572
,Vila Madalena,São Paulo,605,4,6,6,R$ 7.000.000,7000000.0,7.0,11570.247933884297
,Pacaembu,São Paulo,393,4,4,3,R$ 8.000.000,8000000.0,8.0,20356.23409669211
,Pacaembu,São Paulo,455,4,5,3,R$ 4.300.000,4300000.0,4.3,9450.54945054945
Rua Sampaio Vidal,Jardim Paulistano,São Paulo,380,4,4,4,R$ 5.100.000,5100000.0,5.1,13421.052631578947
,Itaberaba,São Paulo,220,3,3,4,R$ 1.290.000,1290000.0,1.29,5863.636363636364
,Granja Julieta,São Paulo,483,4,4,3,R$ 3.900.000,3900000.0,3.9,8074.534161490683
,Cidade Jardim,São Paulo,350,3,4,4,R$ 3.800.000,3800000.0,3.8,10857.142857142857
Rua Camundo,Planalto Paulista,São Paulo,155,3,4,3,R$ 790.000,790000.0,0.79,5096.774193548387
Rua Wilson Dupont,Santana,São Paulo,170,3,3,1,R$ 905.000,905000.0,0.905,5323.529411764706
Rua Tapinas,Itaim Bibi,São Paulo,156,4,3,2,R$ 1.820.000,1820000.0,1.82,11666.666666666666
,Jardim Luzitânia,São Paulo,385,3,5,4,R$ 9.800.000,9800000.0,9.8,25454.545454545456
,Chácara Santo Antônio (Zona Sul),São Paulo,283,3,5,3,R$ 3.000.000,3000000.0,3.0,10600.706713780919
Rua Arapuã,Vila Guarani (Z Sul),São Paulo,138,3,3,2,R$ 550.000,550000.0,0.55,3985.5072463768115
Rua Bolívia,Jardim América,São Paulo,420,4,5,6,R$ 8.900.000,8900000.0,8.9,21190.47619047619
,Pacaembu,São Paulo,456,4,5,11,R$ 3.200.000,3200000.0,3.2,7017.543859649123
,Vila Salete,São Paulo,174,3,2,2,R$ 640.000,640000.0,0.64,3678.1609195402298
,Cidade Jardim,São Paulo,1100,4,4,14,R$ 12.800.000,12800000.0,12.8,11636.363636363636
"Rua Simpatia, 401 ",Jardim das Bandeiras,São Paulo,476,4,3,4,R$ 3.640.000,3640000.0,3.64,7647.058823529412
,Jardim Guedala,São Paulo,960,4,6,6,R$ 4.800.000,4800000.0,4.8,5000.0
Rua Inácio Pedroso,Jardim Guedala,São Paulo,678,4,6,6,R$ 7.300.000,7300000.0,7.3,10766.961651917403
Rua Doutor Manoel Maria Tourinho,Pacaembu,São Paulo,495,5,5,4,R$ 4.000.000,4000000.0,4.0,8080.80808080808
"Rua Apinajés, 282 ",Perdizes,São Paulo,200,3,4,3,R$ 2.660.000,2660000.0,2.66,13300.0
,Indianópolis,São Paulo,280,4,2,2,R$ 2.450.000,2450000.0,2.45,8750.0
Rua Vieira de Almeida,Ipiranga,São Paulo,130,3,2,5,R$ 1.200.000,1200000.0,1.2,9230.76923076923
Rua Irmão Gonçalo,Jardim das Bandeiras,São Paulo,815,6,5,8,R$ 8.000.000,8000000.0,8.0,9815.9509202454
,Alto de Pinheiros,São Paulo,320,3,3,3,R$ 3.750.000,3750000.0,3.75,11718.75
,Alto de Pinheiros,São Paulo,420,5,4,4,R$ 4.650.000,4650000.0,4.65,11071.42857142857
,Vila Cruzeiro,São Paulo,200,3,3,2,R$ 1.160.000,1160000.0,1.16,5800.0
"Rua Afonso José de Carvalho, 125 ",Vila Madalena,São Paulo,180,3,2,4,R$ 1.600.000,1600000.0,1.6,8888.888888888889
Rua Muribeca,Cidade Jardim,São Paulo,420,4,5,3,R$ 3.000.000,3000000.0,3.0,7142.857142857143
,Chora Menino,São Paulo,256,3,4,4,R$ 822.000,822000.0,0.822,3210.9375
